facility_type,floor_area,year_built,State_Factor,site_eui,Year_Factor,building_class,weather_file,gisjoin,january_min_temp,january_avg_temp,january_max_temp,february_min_temp,february_avg_temp,february_max_temp,march_min_temp,march_avg_temp,march_max_temp,april_min_temp,april_avg_temp,april_max_temp,may_min_temp,may_avg_temp,may_max_temp,june_min_temp,june_avg_temp,june_max_temp,july_min_temp,july_avg_temp,july_max_temp,august_min_temp,august_avg_temp,august_max_temp,september_min_temp,september_avg_temp,september_max_temp,october_min_temp,october_avg_temp,october_max_temp,november_min_temp,november_avg_temp,november_max_temp,december_min_temp,december_avg_temp,december_max_temp,avg_temp,cooling_degree_days,heating_degree_days,ELEVATION,high_energy_usage
Single-Family Detached,1698.0,,State_NY,15.597754607586374,Year_1,Residential,USA_NY_Republic.744864_2018.epw,G3600590,1.9400000000000048,30.4733810483871,55.04,14.0,39.38644196428571,64.94,26.06,38.08671947004608,60.08,28.94,46.17656726190477,69.08,46.04,62.29641100230415,82.94,50.0,68.61662559523809,89.06,57.02,75.65301612903225,93.92,60.98,76.72431970046082,91.94,51.98,69.38784077380953,89.96000000000001,33.08,56.38428225806452,78.98,14.0,43.74168333333333,66.02,21.02,38.75905184331797,58.58857142857144,53.89094386007828,1067.7249642857143,5142.46757492236,22.8,0
Single-Family Detached,1698.0,,State_NY,124.35153058853145,Year_1,Residential,USA_NY_Niagara.Falls.Intl.725287_2018.epw,G3600630,-0.2673684210526375,25.9835605439473,60.744615384615386,10.206153846153851,32.95557727081908,66.53230769230768,19.718461538461536,33.24989545407071,51.81384615384615,24.81384615384616,40.216972533940734,73.30307692307693,41.12461538461538,65.25164339490634,92.54923076923076,50.96923076923076,69.50116787199728,91.37230769230771,49.22461538461538,74.92250842642909,95.47076923076924,53.766153846153856,72.44751847820008,88.43692307692308,40.58461538461538,65.84097379302307,89.28153846153846,29.63230769230769,49.64938568869066,80.76615384615384,9.32,35.21596862914885,58.44615384615385,17.558461538461536,32.148238977900576,54.26461538461538,49.88833952962937,918.932366028676,6456.269658449743,178.3,1
Single-Family Detached,1698.0,,State_NY,122.28380484085405,Year_1,Residential,USA_NY_Republic.744864_2018.epw,G3600590,1.9400000000000048,30.4733810483871,55.04,14.0,39.38644196428571,64.94,26.06,38.08671947004608,60.08,28.94,46.17656726190477,69.08,46.04,62.29641100230415,82.94,50.0,68.61662559523809,89.06,57.02,75.65301612903225,93.92,60.98,76.72431970046082,91.94,51.98,69.38784077380953,89.96000000000001,33.08,56.38428225806452,78.98,14.0,43.74168333333333,66.02,21.02,38.75905184331797,58.58857142857144,53.89094386007828,1067.7249642857143,5142.46757492236,22.8,1
Mercantile,17500.0,1912.0,State_NY,228.21475539047617,Year_1,Commercial,USA_NY_Penn.Yan.725194_2018.epw,G3600690,-7.059999999999995,24.225786097796888,59.0,8.96,33.34361670918367,68.0,10.04,31.34865624630746,53.33,21.02,40.07105040584416,71.06,39.92,64.1595579286305,87.98,48.02,66.5303050595238,91.94,50.0,73.11191532258064,93.02,55.04,72.18093433179723,89.96000000000001,46.04,65.9072570970696,91.04,30.02,50.85476324884793,82.94,3.02,35.65574812271062,62.96,14.0,33.30478773041475,62.96,49.32419319591569,786.1998028846153,6529.849992897129,267.4,1
Office,7500.0,2000.0,State_NY,77.31403737777778,Year_1,Commercial,USA_NY_Griffiss.Airpark.725196_2018.epw,G3600650,-20.255384615384614,19.91116776853925,60.98,-0.3030769230769223,29.71271441802245,63.074230769230766,3.2553846153846173,30.813208030584217,51.74,17.904615384615386,38.23510004533113,71.6276923076923,30.186153846153847,61.69494875344101,87.81384615384616,43.72769230769231,65.22238255223127,91.44153846153846,46.37230769230769,73.47208864062488,95.55384615384617,49.72307692307693,71.67393024102124,90.995,39.185,64.6824139547544,89.35076923076925,27.126153846153848,49.153421857080296,81.54153846153847,-2.3800000000000026,34.38388974366599,63.32000000000001,6.664999999999999,29.12315805897139,58.086153846153856,47.44868278477326,700.2718367410293,7135.706245906555,154.0,0
Multi-Family with 5+ Units,322.0,,State_NY,52.080720414595575,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,0
Office,3000.0,1921.0,State_NY,49.58028983333333,Year_1,Commercial,USA_NY_Penn.Yan.725194_2018.epw,G3600690,-7.059999999999995,24.225786097796888,59.0,8.96,33.34361670918367,68.0,10.04,31.34865624630746,53.33,21.02,40.07105040584416,71.06,39.92,64.1595579286305,87.98,48.02,66.5303050595238,91.94,50.0,73.11191532258064,93.02,55.04,72.18093433179723,89.96000000000001,46.04,65.9072570970696,91.04,30.02,50.85476324884793,82.94,3.02,35.65574812271062,62.96,14.0,33.30478773041475,62.96,49.32419319591569,786.1998028846153,6529.849992897129,267.4,0
Office,3000.0,1935.0,State_NY,61.645996,Year_1,Commercial,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600010,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,0
Multi-Family with 2 - 4 Units,854.0,,State_NY,87.22478260820371,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600810,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Education,75000.0,1987.0,State_NY,112.69287415555554,Year_1,Commercial,USA_NY_Fort.Drum.Wheeler.S.743700_2018.epw,G3600490,-24.160000000000004,18.750551852045803,60.02,3.3800000000000026,29.30188265157461,64.75999999999999,-2.3800000000000026,29.4317487760895,48.92,17.240000000000002,37.61188135336885,69.08,35.6,61.65454800307219,91.58,46.595,64.48835808080808,87.44,45.041818181818186,73.76980044686496,93.92,50.9,71.93653230371778,88.88000000000001,40.1,63.8872276973027,90.86,25.7,46.99257094960701,80.78,-4.540000000000006,32.92841139138639,60.98,-2.200000000000003,26.98752836343764,56.48,46.583974716356025,727.5686588203463,7478.430162712713,209.7,0
Multi-Family with 5+ Units,1138.0,,State_NY,12.166075020624556,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,0
Education,37500.0,1977.0,State_NY,83.5567370711111,Year_1,Commercial,USA_NY_Adirondack.Rgnl.726228_2018.epw,G3600330,-31.0,14.433499999999997,54.14,-13.0,24.913367028061224,62.06,-20.919999999999995,24.584495225876275,48.02,6.979999999999997,32.41082311507937,64.94,21.02,55.43503744239632,84.02,30.92,59.30975684523809,82.94,34.88,67.9008845046083,91.04,37.04,66.31073540706606,86.0,29.48,58.41209831349206,87.08000000000001,19.94,42.11432670890937,78.08,-20.11,28.08338333333333,53.06,-18.040000000000006,21.750298099078343,53.96,41.40401020281089,273.6559494047619,8917.801247117917,505.6,0
Office,7500.0,2005.0,State_NY,74.35811313333333,Year_1,Commercial,USA_NY_Greater.Buffalo.Int.725280_2018.epw,G3600290,-2.9200000000000017,24.59655289373814,60.08,8.96,31.879879611459973,66.92,19.04,31.47933342933948,50.0,24.08,38.61947876984127,73.04,39.02,64.99044852941176,89.96000000000001,50.0,67.46272083333334,84.47,55.49,74.78276267281106,91.04,55.94,72.86194892473118,86.0,46.04,67.03456249999999,89.96000000000001,33.08,50.52403801843318,82.94,8.96,35.686254166666664,60.98,19.49,33.06384274193548,55.985,49.52875030339322,894.8563095238095,6553.391905307022,216.2,0
Single-Family Attached,1207.0,,State_NY,108.7629968250762,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600050,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,1
Multi-Family with 5+ Units,854.0,,State_NY,37.96368206390889,Year_1,Residential,USA_NY_Greater.Buffalo.Int.725280_2018.epw,G3600290,-2.9200000000000017,24.59655289373814,60.08,8.96,31.879879611459973,66.92,19.04,31.47933342933948,50.0,24.08,38.61947876984127,73.04,39.02,64.99044852941176,89.96000000000001,50.0,67.46272083333334,84.47,55.49,74.78276267281106,91.04,55.94,72.86194892473118,86.0,46.04,67.03456249999999,89.96000000000001,33.08,50.52403801843318,82.94,8.96,35.686254166666664,60.98,19.49,33.06384274193548,55.985,49.52875030339322,894.8563095238095,6553.391905307022,216.2,0
Single-Family Detached,1698.0,,State_NY,145.5570563637009,Year_1,Residential,USA_NY_Penn.Yan.725194_2018.epw,G3600690,-7.059999999999995,24.225786097796888,59.0,8.96,33.34361670918367,68.0,10.04,31.34865624630746,53.33,21.02,40.07105040584416,71.06,39.92,64.1595579286305,87.98,48.02,66.5303050595238,91.94,50.0,73.11191532258064,93.02,55.04,72.18093433179723,89.96000000000001,46.04,65.9072570970696,91.04,30.02,50.85476324884793,82.94,3.02,35.65574812271062,62.96,14.0,33.30478773041475,62.96,49.32419319591569,786.1998028846153,6529.849992897129,267.4,1
Single-Family Detached,2179.0,,State_NY,93.81730250396907,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600810,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,1
Single-Family Detached,5587.0,,State_NY,66.95450527282411,Year_1,Residential,USA_NY_Westchester.Co.725037_2018.epw,G3601190,-0.0400000000000062,28.16134216589862,55.940000000000005,12.020000000000003,37.70617744309262,77.0,23.0,36.765593317972346,57.02,28.04,44.975472756410255,78.08,42.08,63.20044298443492,89.96000000000001,50.0,68.36612179487179,91.04,53.96,74.71991935483871,93.02,59.0,75.25843827543424,91.94,51.98,67.6578592948718,91.94,33.08,54.47561751152072,78.98,10.94,41.58696538461538,69.08,19.94,36.65489883906416,60.98,52.547094167818486,982.3680082417582,5551.153147857577,112.9,0
Multi-Family with 5+ Units,623.0,,State_NY,35.49597016972849,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Mercantile,37500.0,1921.0,State_NY,89.25501087111111,Year_1,Commercial,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600050,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Mercantile,17500.0,1934.0,State_NY,217.6766588857143,Year_1,Commercial,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,1
Warehouse and Storage,150000.0,1915.0,State_NY,35.661665271111104,Year_1,Commercial,USA_NY_Orange.Co.725015_2018.epw,G3600710,-0.1507692307692281,25.37807076657093,62.83538461538462,8.198461538461533,34.23658091269725,73.44909090909091,19.58,36.31374854347897,57.25538461538461,22.363076923076925,43.36541203926792,78.48153846153845,39.878461538461536,63.6409726961292,90.73538461538462,45.818461538461534,68.28055090831835,93.39384615384616,51.32923076923077,74.25735625044626,94.86153846153846,55.441538461538464,73.7851590312464,91.44153846153846,45.64625,66.33804122105427,91.64923076923075,30.04769230769231,52.116439690290726,80.35076923076923,8.420000000000002,38.827558069279576,66.39384615384616,14.738,34.068218741633835,60.81384615384614,50.984465945224144,891.5140914405836,6035.941549861865,108.2,0
Multi-Family with 2 - 4 Units,623.0,,State_NY,76.14442583483675,Year_1,Residential,USA_NY_Binghamton.Broome.C.725150_2018.epw,G3600070,-7.059999999999995,21.58283006912442,59.0,3.02,30.701595344387755,68.0,10.94,28.60379608294931,50.0,17.96,38.17785089285714,69.98,39.02,61.22127304147466,84.02,48.02,64.04566150793652,88.97,51.08,70.10324385560676,89.06,51.98,69.31931451612903,86.0,41.0,62.60675625,87.08000000000001,30.02,47.90861847158218,75.92,1.0400000000000027,32.823691369047616,60.08,14.0,29.82522379032258,59.0,46.50618291748206,474.6181666666666,7252.069445263975,485.7,0
Mercantile,7500.0,1938.0,State_NY,128.11448319999997,Year_1,Commercial,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Mercantile,1000.0,1906.0,State_NY,292.818481,Year_1,Commercial,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,1
Multi-Family with 2 - 4 Units,6348.0,,State_NY,15.65500195895524,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Multi-Family with 2 - 4 Units,1138.0,,State_NY,140.73455478534822,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,1
Single-Family Detached,3310.0,,State_NY,3.9936536776702303,Year_1,Residential,USA_NY_Binghamton.Broome.C.725150_2018.epw,G3601090,-7.059999999999995,21.58283006912442,59.0,3.02,30.701595344387755,68.0,10.94,28.60379608294931,50.0,17.96,38.17785089285714,69.98,39.02,61.22127304147466,84.02,48.02,64.04566150793652,88.97,51.08,70.10324385560676,89.06,51.98,69.31931451612903,86.0,41.0,62.60675625,87.08000000000001,30.02,47.90861847158218,75.92,1.0400000000000027,32.823691369047616,60.08,14.0,29.82522379032258,59.0,46.50618291748206,474.6181666666666,7252.069445263975,485.7,0
Mercantile,37500.0,1905.0,State_NY,98.29389610666668,Year_1,Commercial,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Mercantile,1000.0,2013.0,State_NY,164.45566983333333,Year_1,Commercial,USA_NJ_Newark.Intl.Airport.725020_2018.epw,G3600850,5.0,31.47253629032258,64.22,15.079999999999998,41.30662946428571,80.06,26.96,39.87239516129033,60.98,32.0,49.18053333333333,82.94,46.04,66.62160080645162,93.02,51.98,72.32340178571428,96.08,60.98,77.96996774193549,96.98,62.96,78.97001267281105,96.08,53.06,71.18308333333333,98.06,33.98,57.35979435483872,79.52,15.079999999999998,44.17899166666667,71.96,23.0,39.62340725806452,60.08,55.92095088062622,1457.8184464285714,4791.999635869565,2.0,1
Single-Family Detached,3310.0,,State_NY,8.975524405015877,Year_1,Residential,USA_NY_Orange.Co.725015_2018.epw,G3600710,-0.1507692307692281,25.37807076657093,62.83538461538462,8.198461538461533,34.23658091269725,73.44909090909091,19.58,36.31374854347897,57.25538461538461,22.363076923076925,43.36541203926792,78.48153846153845,39.878461538461536,63.6409726961292,90.73538461538462,45.818461538461534,68.28055090831835,93.39384615384616,51.32923076923077,74.25735625044626,94.86153846153846,55.441538461538464,73.7851590312464,91.44153846153846,45.64625,66.33804122105427,91.64923076923075,30.04769230769231,52.116439690290726,80.35076923076923,8.420000000000002,38.827558069279576,66.39384615384616,14.738,34.068218741633835,60.81384615384614,50.984465945224144,891.5140914405836,6035.941549861865,108.2,0
Multi-Family with 5+ Units,623.0,,State_NY,83.85710272122301,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600810,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Single-Family Detached,634.0,,State_NY,73.09933409816679,Year_1,Residential,USA_NY_Dunkirk.994250_2018.epw,G3600130,-9.510769230769236,25.988514916597435,59.69230769230769,2.410769230769233,32.62739824319151,69.74461538461539,6.467692307692307,30.02205928140539,51.744615384615386,20.68769230769231,38.58716181956761,67.72307692307692,37.441538461538464,62.97077370960791,88.64461538461538,45.95692307692308,66.43451597460954,86.0,52.86615384615385,73.45260532509869,89.55846153846154,54.59692307692308,72.27377541293701,87.74000000000001,42.744615384615386,66.7921869272798,89.96000000000001,32.05538461538462,52.21643431520313,83.77076923076923,13.861538461538462,37.03221332515523,61.035384615384615,21.87846153846154,34.77883764846853,57.18615384615385,49.539020578346815,797.164999682432,6455.500944828875,197.0,0
Single-Family Detached,1698.0,,State_NY,18.46053297826704,Year_1,Residential,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
Mercantile,75000.0,1865.0,State_NY,118.25529423333332,Year_1,Commercial,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600010,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,0
Multi-Family with 5+ Units,1138.0,,State_NY,73.5324779867001,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,0
Single-Family Detached,2678.0,,State_NY,98.5328131834907,Year_1,Residential,USA_NY_Syracuse.Hancock.725190_2018.epw,G3600670,-13.0,22.641460253456223,60.98,8.96,32.26470216836734,72.5,8.059999999999999,30.74642396313364,53.96,20.93,39.2964,70.52,32.99,63.23144556451613,89.06,46.94,66.04660833333334,91.94,48.2,73.75654032258063,95.0,53.96,72.45528110599078,91.04,43.07,65.42443958333334,91.94,30.92,49.83390322580645,82.94,-0.9400000000000048,34.38013273809524,60.98,15.079999999999998,30.656883064516126,64.04,48.49539491193738,785.8869642857143,6832.293854037267,124.9,1
Warehouse and Storage,75000.0,1996.0,State_NY,61.61629774444444,Year_1,Commercial,USA_NY_Syracuse.Hancock.725190_2018.epw,G3600670,-13.0,22.641460253456223,60.98,8.96,32.26470216836734,72.5,8.059999999999999,30.74642396313364,53.96,20.93,39.2964,70.52,32.99,63.23144556451613,89.06,46.94,66.04660833333334,91.94,48.2,73.75654032258063,95.0,53.96,72.45528110599078,91.04,43.07,65.42443958333334,91.94,30.92,49.83390322580645,82.94,-0.9400000000000048,34.38013273809524,60.98,15.079999999999998,30.656883064516126,64.04,48.49539491193738,785.8869642857143,6832.293854037267,124.9,0
Mercantile,7500.0,1960.0,State_NY,144.7771002,Year_1,Commercial,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,1
Single-Family Detached,1698.0,,State_NY,27.935793460859344,Year_1,Residential,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
